nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Call of Duty: World at War,Call of Duty,Wii,2008,Treyarch,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Treyarch,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Arkane Studios,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Arkane Studios,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Arkane Studios,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Arkane Studios,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Exakt Entertainment,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Exakt Entertainment,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Exakt Entertainment,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Call of Duty: World at War,Call of Duty,Wii,2008,Exakt Entertainment,http://www.callofduty.com/codww,Mature 17+,PEGI 18,,
Wii Music,Wii (série),Wii,2008,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Wii Music,Wii (série),Wii,2008,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Wii Music,Wii (série),Wii,2008,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Wii Music,Wii (série),Wii,2008,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Cocoto Kart Racer,,Wii,2005,Neko Entertainment,,,,,
Worms : L'Odyssée spatiale,Worms,Wii,2008,Team17,,Everyone,PEGI 7,,
G.I. Joe: The Rise of Cobra,,Wii,2009,Double Helix Games,,,,,
Secret Files 2: Puritas Cordis,,Wii,2009,,,,PEGI 12,,
FIFA 09,FIFA Football,Wii,2008,EA Canada,,Everyone,PEGI 3,,
Super Smash Bros. Brawl,Super Smash Bros.,Wii,2008,Sora,http://www.smashbros.com/wii/,Teen,PEGI 12,,
Ninja Reflex,,Wii,2008,Sanzaru Games,http://ninjareflex.com,,,,
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Nicktoons,Wii,2008,Incinerator Studios,,,,,
