id,titre,description,date
16712188,"Family party, 30 great games. Obstacle arcade : jeu vidéo",Édité par D3 publisher of America,2012-11
16712225,Professeur Layton et le masque des miracles : jeu vidéo,Édité par Level 5,2011-02
16720297,"Imagine, fashion world 3D : jeu vidéo","Jeu de simulation de vie. - Intitulé ""Léa passion, vie de fashionista"" en français",2012-10
16995054,The last bounty hunter : jeu vidéo,Édité par American laser games sur bornes d'arcade et différents éditeurs suivant les plateformes,1994-03
17000394,Time traveler : jeu vidéo,Édité par Sega sur bornes d'arcade et Digital leisure sur PC,1991-09
16703672,Ghost recon. Future soldier : jeu vidéo,Édité par Ubisoft,2012-05
16904045,Lieferwagen-Simulator 2010 : jeu vidéo,"Jeu de simulation. - Intitulé ""Livreur express simulator"" en France et ""Delivery truck simulator 2013"" en Europe",2010-06
16742841,Hotel Transylvania : jeu vidéo,Jeu d'action ; jeu d'aventure,2012-09
16902449,Euro truck simulator 2 : jeu vidéo,Édité par Excalibur publishing au Royaume-Uni et Anuman en France,2012-10
16775740,Tanker truck simulator : jeu vidéo,"Jeu de pilotage ; jeu de gestion. - Intitulé ""Camions citernes simulator"" en France",2011-02
16715583,Dragon quest VI : jeu vidéo,Édité par Square Enix,1995-12
16735803,Power rangers. Super samurai : jeu vidéo,"Jeu d'action. - Adapté de la série télévisée : ""Power rangers. Super samurai""",2012-11
16737020,Ninja gaiden II : jeu vidéo,Co-édité par Temco et Microsoft corporation,2008-06
16737945,Blue dragon : jeu vidéo,Jeu de rôle,2006-12
16704336,TERA : jeu vidéo,"Jeu de rôle ; jeu d'action. - Devient ""TERA rising"" en février 2013 pour l'Amérique du Nord et l'Europe",2011-01
16710529,The Hip Hop dance experience : jeu vidéo,Édité par Ubisoft entertainment,2012-11
16710798,Rise of the guardians : jeu vidéo,Jeu d'action ; jeu d'aventure. - Adapté du film d'animation des studios Dreamworks,2012-11
16690677,LittleBigPlanet karting : jeu vidéo,Jeu de pilotage,2012-11
16693925,Call of duty. Black ops II : jeu vidéo,Jeu d'action,2012-11
16618949,Armored core : jeu vidéo,Édité par From software,1997
16630449,Red faction : jeu vidéo,Édité par THQ,2001
16915905,Ninja gaiden : jeu vidéo,Édité par Tecmo et différents éditeurs suivant les versions et les plateformes,1988
16739114,Crackdown : jeu vidéo,Édité par Microsoft corporation,2007
16961571,Bonanza bros. : jeu vidéo,Jeu d'action,1990-06
16972713,Lego Batman : jeu vidéo,Série de jeux vidéo,2008
16972713,Lego Batman : jeu vidéo,Édité par Warner bros,2008
16979320,Gauntlet : jeu vidéo,"Édité par Atari games sur bornes d'arcade, par U.S. Gold en Europe sur supports et par Mindscape en Amérique du Nord sur supports",1985
16597562,Cocoto : jeu vidéo,Série de jeux vidéo,2004
16599190,Prototype : jeu vidéo,Édité par Activision publishing,2009
16599313,My body coach : jeu vidéo,Série de jeux vidéo,2009
16599313,My body coach : jeu vidéo,Coédité par Bigben interactive et Neko entertainment,2009
16633810,Diablo : jeu vidéo,Édité par Blizzard entertainment,1996
16636734,Crazy taxi : jeu vidéo,Édité par Sega,1999
16636734,Crazy taxi : jeu vidéo,Jeu d'action ; jeu de pilotage,1999
16659844,BioShock : jeu vidéo,Jeu d'action,2007-08
16661191,Transformers : jeu vidéo,Édité par Activision,1985
