nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Rayman Legends,Rayman,PlayStation 3,2015,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Rayman Legends,Rayman,Xbox 360,2015,Ubisoft,Ubisoft Montpellier,http://rayman.ubi.com/legends/en-gb/home/index.aspx,Everyone,PEGI 7,,
Oddworld : la Fureur de l'étranger,Oddworld,PlayStation 3,2005,Electronic Arts,Oddworld Inhabitants,http://www.oddworld.com,Teen,PEGI 12,,
Oddworld : la Fureur de l'étranger,Oddworld,Xbox,2005,Electronic Arts,Oddworld Inhabitants,http://www.oddworld.com,Teen,PEGI 12,,
Oddworld : la Fureur de l'étranger,Oddworld,PlayStation 3,2010,Electronic Arts,Oddworld Inhabitants,http://www.oddworld.com,Teen,PEGI 12,,
Oddworld : la Fureur de l'étranger,Oddworld,Xbox,2010,Electronic Arts,Oddworld Inhabitants,http://www.oddworld.com,Teen,PEGI 12,,
EyeToy: Monkey Mania,Q5422591,PlayStation 2,2004,Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,
EyeToy: Monkey Mania,Ape Escape,PlayStation 2,2004,Sony Interactive Entertainment,Sony Interactive Entertainment,,,,,
Virtua Fighter 4,Virtua Fighter,PlayStation 2,2002,Sega,Sega-AM2,http://www.virtua-fighter-4.com,Teen,PEGI 12,,
EyeToy: Groove,Q5422591,PlayStation 2,2003,Sony Interactive Entertainment,SCE London Studio,,,,,
Sudeki,,Xbox,2004,Microsoft Studios,Climax Group,,Mature 17+,PEGI 16,,
Slender: The Arrival,,PlayStation 3,2013,Majesco Entertainment,Q19876460,http://www.slenderarrival.com,,,,
Slender: The Arrival,,Xbox 360,2013,Majesco Entertainment,Q19876460,http://www.slenderarrival.com,,,,
Slender: The Arrival,,PlayStation 3,2013,Majesco Entertainment,Q19876460,http://www.slenderarrival.com,,,,
Slender: The Arrival,,Xbox 360,2013,Majesco Entertainment,Q19876460,http://www.slenderarrival.com,,,,
Ghost Rider,,PlayStation 2,2007,2K Games,Climax Group,,,,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,Final Fantasy Crystal Chronicles,Wii,2009,Square Enix,Square Enix,http://web.archive.org/web/20111121212741/http://www.thecrystalbearers.com/,Teen,PEGI 12,,
Fatal Frame IV: Mask of the Lunar Eclipse,Project Zero,Wii,2008,Nintendo,Grasshopper Manufacture,http://www.nintendo.co.jp/wii/r4zj/index.html,,,,
Forgotten Realms: Demon Stone,,PlayStation 2,2004,Atari,Stormfront Studios,http://www.atari.com/demonstone/,,PEGI 12,,
Forgotten Realms: Demon Stone,,Xbox,2004,Atari,Stormfront Studios,http://www.atari.com/demonstone/,,PEGI 12,,
Les Chevaliers de Baphomet : le Manuscrit de Voynich,Les Chevaliers de Baphomet (série),PlayStation 2,2003,THQ,Revolution Software,http://www.revolution.co.uk/bs3,Teen,PEGI 12,,
Les Chevaliers de Baphomet : le Manuscrit de Voynich,Les Chevaliers de Baphomet (série),Xbox,2003,THQ,Revolution Software,http://www.revolution.co.uk/bs3,Teen,PEGI 12,,
Viking: Battle for Asgard,,PlayStation 3,2008,Sega,Creative Assembly,,Mature 17+,PEGI 18,,
Viking: Battle for Asgard,,Xbox 360,2008,Sega,Creative Assembly,,Mature 17+,PEGI 18,,
Rock Band 2,Rock Band,Wii,2008,Music Television,Harmonix Music Systems,,,PEGI 12,,
Rock Band 2,Rock Band,PlayStation 2,2008,Music Television,Harmonix Music Systems,,,PEGI 12,,
Rock Band 2,Rock Band,PlayStation 3,2008,Music Television,Harmonix Music Systems,,,PEGI 12,,
Rock Band 2,Rock Band,Xbox 360,2008,Music Television,Harmonix Music Systems,,,PEGI 12,,
The X-Files: Resist or Serve,,PlayStation 2,2004,Sierra Entertainment,Black Ops Entertainment,,,,,
Avatar: The Last Airbender - Into the Inferno,,Wii,2008,THQ,Nickelodeon,,Everyone 10+,PEGI 7,,
Avatar: The Last Airbender - Into the Inferno,,PlayStation 2,2008,THQ,Nickelodeon,,Everyone 10+,PEGI 7,,
Dragon Ball Z: Sagas,,PlayStation 2,2005,"Atari, Inc.",Avalanche Software,,Teen,,,
Dragon Ball Z: Sagas,,Xbox,2005,"Atari, Inc.",Avalanche Software,,Teen,,,
Sonic Gems Collection,,PlayStation 2,2005,Sega,Sonic Team,,Everyone,PEGI 3,,
The Bard's Tale,,PlayStation 2,2004,Vivendi Games,InXile Entertainment,http://thebardstale.com/,,,,63f7b025-7b23-45f0-8e17-f191eb2ebc91
The Bard's Tale,,Xbox,2004,Vivendi Games,InXile Entertainment,http://thebardstale.com/,,,,63f7b025-7b23-45f0-8e17-f191eb2ebc91
UEFA Euro 2004,Q863992,PlayStation 2,2004,EA Sports,EA Canada,http://www.euro2004game.ea.com/,Everyone,PEGI 3,,
UEFA Euro 2004,Q863992,Xbox,2004,EA Sports,EA Canada,http://www.euro2004game.ea.com/,Everyone,PEGI 3,,
Sega Megadrive Ultimate Collection,,PlayStation 3,2009,Sega,Backbone Entertainment,http://www.sega.com/games/sonics-ultimate-genesis-collection/,Everyone 10+,PEGI 12,,
Sega Megadrive Ultimate Collection,,Xbox 360,2009,Sega,Backbone Entertainment,http://www.sega.com/games/sonics-ultimate-genesis-collection/,Everyone 10+,PEGI 12,,
Juiced,Juiced,PlayStation 2,2005,THQ,Q7670288,,Teen,PEGI 12,,
Juiced,Juiced,Xbox,2005,THQ,Q7670288,,Teen,PEGI 12,,
Just Dance (jeu vidéo),Just Dance,Wii,2009,Ubisoft,Ubisoft Paris,http://just-dance-thegame.ubi.com/,Everyone 10+,PEGI 3,,
The Getaway: Black Monday,The Getaway,PlayStation 2,2004,Sony Interactive Entertainment,SCE London Studio,,Mature 17+,PEGI 18,,
Kinect Sports,,Xbox 360,2010,Microsoft Studios,Rare,,Everyone 10+,PEGI 3,,
Pic' Pirate,,Wii,2008,Takara Tomy,,,,,,
MySims,Les Sims,Wii,2007,Electronic Arts,Visceral Games,,,,,
Shadow Man: 2econd Coming,,PlayStation 2,2002,Acclaim Entertainment,Q3604168,,,,,
FIFA 06,FIFA Football,PlayStation 2,2005,Electronic Arts,EA Canada,http://fifa06.ea.com/,Everyone,PEGI 3,,
FIFA 06,FIFA Football,Xbox,2005,Electronic Arts,EA Canada,http://fifa06.ea.com/,Everyone,PEGI 3,,
NASCAR Thunder 2004,,PlayStation 2,2003,EA Sports,Q3739871,,,,,
NASCAR Thunder 2004,,Xbox,2003,EA Sports,Q3739871,,,,,
Unreal Championship,Unreal,Xbox,2002,Atari,Epic Games,http://www.unrealchampionship.com,,,,
Samurai Warriors: Katana,Samurai Warriors,Wii,2007,Koei,Tecmo Koei Holdings,,Teen,PEGI 12,,
Scooby-Doo! Night of 100 Frights,,PlayStation 2,2002,THQ,Heavy Iron Studios,,,,,
Scooby-Doo! Night of 100 Frights,,Xbox,2002,THQ,Heavy Iron Studios,,,,,
Brave,,Wii,2012,Disney Interactive Studios,Behaviour Interactive,,Rating Pending,,,
Brave,,PlayStation 3,2012,Disney Interactive Studios,Behaviour Interactive,,Rating Pending,,,
Brave,,Xbox 360,2012,Disney Interactive Studios,Behaviour Interactive,,Rating Pending,,,
Harry Potter et les Reliques de la Mort,Q4040432,Wii,2010,Electronic Arts,Electronic Arts,http://www.harrypotter.ea.com,Everyone 10+,PEGI 12,,
Harry Potter et les Reliques de la Mort,Q4040432,PlayStation 3,2010,Electronic Arts,Electronic Arts,http://www.harrypotter.ea.com,Everyone 10+,PEGI 12,,
